Duration,Intended Duration,
0.4069495,Infinity,
0.4941863,0.5,-0.0058137
0.5162598,0.5,0.0162598
0.4914919,0.5,-0.0085081
0.5100164,0.5,0.0100164
0.4880384,0.5,-0.0119616
0.5108047,0.5,0.0108047
0.4891421,0.5,-0.0108579
0.5190483,0.5,0.0190483
0.4865539,0.5,-0.0134461
0.4981946,0.5,-0.0018054
0.514367,0.5,0.014367
0.483865,0.5,-0.016135
0.5143019,0.5,0.0143019
0.4840983,0.5,-0.0159017
0.5097662,0.5,0.0097662
0.4920455,0.5,-0.0079545
0.494085,0.5,-0.005915
0.5174027,0.5,0.0174027
0.4881536,0.5,-0.0118464
0.5136465,0.5,0.0136465
0.4907381,0.5,-0.0092619
0.5043249,0.5,0.0043249
0.4941925,0.5,-0.0058075
0.5102823,0.5,0.0102823
0.4876882,0.5,-0.0123118
0.4971721,0.5,-0.0028279
0.5153371,0.5,0.0153371
0.4847043,0.5,-0.0152957
0.5107561,0.5,0.0107561
0.4923497,0.5,-0.0076503
0.51205,0.5,0.01205
0.4851361,0.5,-0.0148639
0.4961097,0.5,-0.0038903
0.5186819,0.5,0.0186819
0.4911818,0.5,-0.0088182
0.5127974,0.5,0.0127974
0.485583,0.5,-0.014417
0.5075981,0.5,0.0075981
0.491491,0.5,-0.008509
0.5086228,0.5,0.0086228
0.4898549,0.5,-0.0101451
0.4978638,0.5,-0.0021362
0.516057,0.5,0.016057
0.4876169,0.5,-0.0123831
0.5127017,0.5,0.0127017
0.4833745,0.5,-0.0166255
0.5164659,0.5,0.0164659
0.4837594,0.5,-0.0162406
0.4921506,0.5,-0.0078494
0.5205976,0.5,0.0205976
0.4899947,0.5,-0.0100053
0.5097334,0.5,0.0097334
0.4910737,0.5,-0.0089263
0.5067046,0.5,0.0067046
0.4914877,0.5,-0.0085123
0.5110418,0.5,0.0110418
0.4879051,0.5,-0.0120949
0.5007973,0.5,0.0007973
0.511659,0.5,0.011659
0.4869798,0.5,-0.0130202
0.5113459,0.5,0.0113459
0.4892034,0.5,-0.0107966
0.5108286,0.5,0.0108286
0.4950587,0.5,-0.0049413
0.4856587,0.5,-0.0143413
0.5214115,0.5,0.0214115
0.4895637,0.5,-0.0104363
0.5063903,0.5,0.0063903
0.4944142,0.5,-0.0055858
0.5106297,0.5,0.0106297
0.4874622,0.5,-0.0125378
0.5140144,0.5,0.0140144
0.4873105,0.5,-0.0126895
0.4985651,0.5,-0.0014349
0.5100067,0.5,0.0100067
0.4923192,0.5,-0.0076808
0.5111197,0.5,0.0111197
0.4856367,0.5,-0.0143633
0.5117656,0.5,0.0117656
0.4879649,0.5,-0.0120351
0.4940392,0.5,-0.0059608
0.5165646,0.5,0.0165646
