Duration,Intended Duration,
0.0489681,Infinity,
0.4861454,0.5,-0.0138546
0.4929777,0.5,-0.0070223
0.5137696,0.5,0.0137696
0.4859025,0.5,-0.0140975
0.5139651,0.5,0.0139651
0.4860451,0.5,-0.0139549
0.5207133,0.5,0.0207133
0.4929116,0.5,-0.0070884
0.5070027,0.5,0.0070027
0.4929328,0.5,-0.0070672
0.485973,0.5,-0.014027
0.513584,0.5,0.013584
0.4862447,0.5,-0.0137553
0.5206587,0.5,0.0206587
0.4930978,0.5,-0.0069022
0.5066332,0.5,0.0066332
0.4930034,0.5,-0.0069966
0.4860483,0.5,-0.0139517
0.513831,0.5,0.013831
0.4860633,0.5,-0.0139367
0.5136841,0.5,0.0136841
0.4860671,0.5,-0.0139329
0.5208338,0.5,0.0208338
0.492833,0.5,-0.007167
0.5069551,0.5,0.0069551
0.4928586,0.5,-0.0071414
0.485878,0.5,-0.014122
0.5138984,0.5,0.0138984
0.4859969,0.5,-0.0140031
0.5208673,0.5,0.0208673
0.4928761,0.5,-0.0071239
0.5067515,0.5,0.0067515
0.4930673,0.5,-0.0069327
0.4928126,0.5,-0.0071874
0.506831,0.5,0.006831
0.4931288,0.5,-0.0068712
0.5068135,0.5,0.0068135
0.4929484,0.5,-0.0070516
0.5138084,0.5,0.0138084
0.4929251,0.5,-0.0070749
0.513832,0.5,0.013832
0.4861421,0.5,-0.0138579
0.4927931,0.5,-0.0072069
0.5067127,0.5,0.0067127
0.493168,0.5,-0.006832
0.5206618,0.5,0.0206618
0.4860162,0.5,-0.0139838
0.5137191,0.5,0.0137191
0.4861434,0.5,-0.0138566
0.4928721,0.5,-0.0071279
0.5068901,0.5,0.0068901
0.4928431,0.5,-0.0071569
0.5069249,0.5,0.0069249
0.4930983,0.5,-0.0069017
0.5207276,0.5,0.0207276
0.4859925,0.5,-0.0140075
0.5137377,0.5,0.0137377
0.4859574,0.5,-0.0140426
0.4930778,0.5,-0.0069222
0.5066984,0.5,0.0066984
0.4930437,0.5,-0.0069563
0.5207649,0.5,0.0207649
0.4860704,0.5,-0.0139296
0.5134957,0.5,0.0134957
0.4861752,0.5,-0.0138248
0.4929724,0.5,-0.0070276
0.5068833,0.5,0.0068833
0.4929137,0.5,-0.0070863
0.5068859,0.5,0.0068859
0.4930064,0.5,-0.0069936
0.5206414,0.5,0.0206414
0.4930002,0.5,-0.0069998
0.5067281,0.5,0.0067281
0.4930498,0.5,-0.0069502
0.486261,0.5,-0.013739
0.5135494,0.5,0.0135494
0.4860686,0.5,-0.0139314
0.5207369,0.5,0.0207369
0.4929583,0.5,-0.0070417
0.5067615,0.5,0.0067615
0.492943,0.5,-0.007057
0.4861091,0.5,-0.0138909
0.5137404,0.5,0.0137404
0.4859626,0.5,-0.0140374
0.5139565,0.5,0.0139565
0.4860362,0.5,-0.0139638
0.5206012,0.5,0.0206012
0.4931163,0.5,-0.0068837
0.5067224,0.5,0.0067224
0.4929215,0.5,-0.0070785
0.4860345,0.5,-0.0139655
0.5137941,0.5,0.0137941
0.4859951,0.5,-0.0140049
0.5208172,0.5,0.0208172
0.4930669,0.5,-0.0069331
0.5065949,0.5,0.0065949
0.4929587,0.5,-0.0070413
0.4859932,0.5,-0.0140068
0.5138912,0.5,0.0138912
0.4859655,0.5,-0.0140345
0.5138173,0.5,0.0138173
0.4859866,0.5,-0.0140134
0.5209056,0.5,0.0209056
0.4928787,0.5,-0.0071213
0.5067694,0.5,0.0067694
0.4929408,0.5,-0.0070592
0.4929597,0.5,-0.0070403
0.50682,0.5,0.00682
0.4930558,0.5,-0.0069442
0.5138479,0.5,0.0138479
0.4928675,0.5,-0.0071325
0.5138112,0.5,0.0138112
0.4861463,0.5,-0.0138537
0.4928619,0.5,-0.0071381
0.5076122,0.5,0.0076122
0.4922231,0.5,-0.0077769
0.5067792,0.5,0.0067792
0.4930237,0.5,-0.0069763
0.5206666,0.5,0.0206666
0.4859169,0.5,-0.0140831
0.5139407,0.5,0.0139407
0.4861328,0.5,-0.0138672
0.4926998,0.5,-0.0073002
0.5068268,0.5,0.0068268
0.4930649,0.5,-0.0069351
0.5207626,0.5,0.0207626
0.4860524,0.5,-0.0139476
0.5137019,0.5,0.0137019
0.4859414,0.5,-0.0140586
0.4930205,0.5,-0.0069795
0.5069994,0.5,0.0069994
0.4928326,0.5,-0.0071674
0.5069581,0.5,0.0069581
0.492967,0.5,-0.007033
0.5205681,0.5,0.0205681
0.4859828,0.5,-0.0140172
0.5138671,0.5,0.0138671
0.4860933,0.5,-0.0139067
0.4929131,0.5,-0.0070869
0.5068096,0.5,0.0068096
0.493026,0.5,-0.006974
0.5207492,0.5,0.0207492
0.4929821,0.5,-0.0070179
0.5066221,0.5,0.0066221
0.4863459,0.5,-0.0136541
0.4927045,0.5,-0.0072955
0.5139723,0.5,0.0139723
0.485888,0.5,-0.014112
0.5138115,0.5,0.0138115
0.4860431,0.5,-0.0139569
0.5208429,0.5,0.0208429
0.4927723,0.5,-0.0072277
0.5069032,0.5,0.0069032
0.4929673,0.5,-0.0070327
0.4859853,0.5,-0.0140147
0.5139742,0.5,0.0139742
0.4857653,0.5,-0.0142347
0.5207682,0.5,0.0207682
0.493093,0.5,-0.006907
0.5065649,0.5,0.0065649
0.493202,0.5,-0.006798
0.4859588,0.5,-0.0140412
0.513851,0.5,0.013851
0.4859929,0.5,-0.0140071
0.5137535,0.5,0.0137535
0.4860256,0.5,-0.0139744
0.5207052,0.5,0.0207052
0.492846,0.5,-0.007154
0.5068871,0.5,0.0068871
0.4931121,0.5,-0.0068879
0.4860335,0.5,-0.0139665
0.513782,0.5,0.013782
0.4861027,0.5,-0.0138973
0.520707,0.5,0.020707
0.4929176,0.5,-0.0070824
0.5068376,0.5,0.0068376
0.4928851,0.5,-0.0071149
0.4930056,0.5,-0.0069944
0.5068947,0.5,0.0068947
0.4927811,0.5,-0.0072189
0.5070139,0.5,0.0070139
0.4929271,0.5,-0.0070729
0.5137102,0.5,0.0137102
0.4929671,0.5,-0.0070329
0.5067616,0.5,0.0067616
0.4931847,0.5,-0.0068153
0.4928485,0.5,-0.0071515
0.5067216,0.5,0.0067216
0.4931816,0.5,-0.0068184
0.5206863,0.5,0.0206863
0.4859687,0.5,-0.0140313
0.5137686,0.5,0.0137686
0.4859835,0.5,-0.0140165
0.493073,0.5,-0.006927
0.5068299,0.5,0.0068299
0.4927903,0.5,-0.0072097
0.5069447,0.5,0.0069447
0.4930321,0.5,-0.0069679
0.5206386,0.5,0.0206386
0.4859404,0.5,-0.0140596
0.513867,0.5,0.013867
0.486094,0.5,-0.013906
0.4930328,0.5,-0.0069672
0.5067317,0.5,0.0067317
0.4930531,0.5,-0.0069469
0.5207672,0.5,0.0207672
0.4859736,0.5,-0.0140264
0.5136216,0.5,0.0136216
0.48615,0.5,-0.01385
0.4929228,0.5,-0.0070772
0.5069218,0.5,0.0069218
0.4929052,0.5,-0.0070948
0.5068396,0.5,0.0068396
0.4936799,0.5,-0.0063201
0.520049,0.5,0.020049
0.4858605,0.5,-0.0141395
0.5138603,0.5,0.0138603
0.4930272,0.5,-0.0069728
0.4859771,0.5,-0.0140229
0.514704,0.5,0.014704
0.4852216,0.5,-0.0147784
0.5206296,0.5,0.0206296
0.4934542,0.5,-0.0065458
0.506285,0.5,0.006285
0.493122,0.5,-0.006878
0.4859321,0.5,-0.0140679
0.5137805,0.5,0.0137805
0.4861256,0.5,-0.0138744
0.5136898,0.5,0.0136898
0.485988,0.5,-0.014012
0.5207899,0.5,0.0207899
0.4929598,0.5,-0.0070402
0.5067635,0.5,0.0067635
0.4930167,0.5,-0.0069833
0.4859556,0.5,-0.0140444
0.5137539,0.5,0.0137539
0.486002,0.5,-0.013998
0.5208187,0.5,0.0208187
0.4930374,0.5,-0.0069626
0.5066552,0.5,0.0066552
0.4931087,0.5,-0.0068913
0.4860885,0.5,-0.0139115
0.5136532,0.5,0.0136532
0.4861031,0.5,-0.0138969
0.5137614,0.5,0.0137614
0.4860249,0.5,-0.0139751
0.5206599,0.5,0.0206599
0.4930406,0.5,-0.0069594
0.5067986,0.5,0.0067986
0.493166,0.5,-0.006834
0.4927285,0.5,-0.0072715
0.5067772,0.5,0.0067772
0.4931339,0.5,-0.0068661
0.5136753,0.5,0.0136753
0.4930095,0.5,-0.0069905
0.5067433,0.5,0.0067433
0.4929734,0.5,-0.0070266
